Id,SalePrice
2658,127804.76205236153
2718,172367.84746371018
2414,213628.31794139027
1989,115394.97529930681
625,181673.39101467232
333,101387.88770440478
1327,114443.00531096548
858,156910.43815933669
95,167527.6278365755
1568,166973.6028415171
2482,161414.16651510794
1364,135044.39314532053
2584,150948.9066252657
818,261669.82015895442
2673,168861.13271983436
2089,125251.39313893442
1297,154285.12222493067
790,119674.0820428656
2616,193590.7564952193
720,240515.4467790986
222,152934.5272315905
557,126529.67350435929
1148,189960.8850135328
2766,155578.0439952406
534,185756.42100472987
1452,119763.68620058642
630,128961.09009349775
2648,120737.85079682917
125,161221.86181937478
1904,66382.69209412926
1670,117756.56746008662
756,101932.99540997333
717,231350.11020929104
1032,149362.64291683742
852,214551.3483594184
1731,174761.02072662662
2639,108383.15918373992
2071,85285.11319926158
1267,127267.27840223236
1851,178456.05634904135
567,162129.63702977446
2439,213518.4074063985
1898,149444.1994887748
647,167386.60078442347
2256,222088.30072751112
979,109265.97144796806
1444,214876.00688250823
2485,126320.55539899647
157,133232.91227820152
88,132315.30282802088
2003,113861.48992692707
186,192269.22835528647
1425,247832.3473573787
2695,135960.47428236363
738,113526.95594023573
395,153057.81853452916
1353,152775.25125924463
1878,143066.5313002131
390,164153.46462602782
1456,233544.99883606422
1103,329049.4218298373
1387,119876.853131895
2070,134116.33677846633
1199,174865.7459246163
2479,173534.66416587995
501,287034.0961004166
2362,97455.18655611995
1718,189492.02285242546
2188,96701.44931850884
1483,145097.5891672237
2557,97498.50626248463
437,347855.09529467055
2224,184099.57730622368
1628,178241.4017208301
397,135821.75696908127
587,203404.03665969643
971,130263.33448770274
2611,150329.78702637015
1887,106576.7274654084
2399,348307.8777583334
2148,197673.22306570256
304,134549.8052872488
1997,148008.1061353088
2817,122423.37168465492
1431,199893.18589040425
427,373071.00655061856
263,117781.96705456241
598,167776.62392078884
2895,231706.77237268703
687,148556.55995445186
1822,138901.00878863275
2191,111583.78066233356
179,122236.81707708204
1009,201099.22869673037
2010,137482.8565424898
1991,150805.75002882828
1411,192572.81897313183
1721,235074.0901729994
1144,184497.8677266411
593,215122.76143659334
575,332606.870650008
1249,186326.41554572884
1604,120207.38787328813
1064,509416.513185548
1923,165824.3782439278
1988,125300.51490039012
2325,175782.48050918966
114,198648.60855442
2700,184985.3390245477
217,131129.7864935452
343,175503.45027344275
386,227714.0484937276
2005,114166.09061371455
2908,132487.9699282148
1814,244209.46242522026
2446,579892.7257547884
208,146268.2886201031
1679,117324.30813243138
822,344973.2122516443
6,201831.845699822
1781,413906.62235911586
2397,273863.1170796514
2340,291497.18027494603
1618,179359.2234315255
2843,134704.98451892266
1061,367046.7306965445
2786,121851.50716931796
1935,136856.56107892032
1341,129113.93452504765
521,276923.1426679165
2136,134489.81982403822
996,198351.4346812733
227,143685.99374412547
135,178499.63222757145
1167,150923.35602817938
294,221551.8317614745
1776,193260.09217981348
540,165850.07306791985
1717,187748.9505395118
2303,133690.61848613003
116,181735.59339699495
127,133086.6043421646
1371,143679.68747135936
1014,144942.2578829706
1507,107585.44112645698
702,125109.368713224
750,148408.76862346107
261,159012.5624189027
1559,73491.47249693831
577,209007.5523075346
2812,194356.37890115255
2080,170961.67844252917
1368,108878.21359570413
2376,128769.13931962205
659,115105.08611937195
1235,141568.59799971498
332,87154.93241738927
1917,148471.83529847878
2094,245055.8655936405
1460,258480.30880455038
1471,209344.3789376548
1509,129727.26627327631
1922,140190.25517447243
433,569712.726856082
460,259146.30195451883
1116,231545.43043489862
1137,158420.69000809692
53,183218.65805351993
