Id,SalePrice
2658,129217.92158755245
2718,174678.51809014645
2414,208073.75016220906
1989,116853.89422511424
625,167918.44661339073
333,99673.78451086524
1327,109991.14736501891
858,144103.86873350473
95,180576.0474401299
1568,158447.30592584485
2482,160772.60483443757
1364,118957.49506119636
2584,144437.5716217586
818,299943.5554985703
2673,154059.39612402022
2089,121712.65887854007
1297,150316.48055453025
790,115019.37262756254
2616,193714.71455527376
720,198737.37307320908
222,139128.854601031
557,122574.43785303325
1148,186578.61159546644
2766,155463.90046963526
534,180498.78429506472
1452,113640.4606627379
630,134605.52171225302
2648,125993.4956271589
125,148665.43666117918
1904,68989.55777101083
1670,109142.16832785532
756,103167.33124157642
717,239785.34194093442
1032,163407.94966742137
852,213184.74148246457
1731,173230.21205635872
2639,119995.24726783522
2071,87366.63793068872
1267,117314.25301533336
1851,181020.53716798648
567,150550.0531537769
2439,206056.3256715395
1898,147635.02446657757
647,153756.88220979628
2256,214396.65120772837
979,107060.23644938249
1444,222610.55023160277
2485,116605.97950876872
157,121230.27398886427
88,125900.40758072212
2003,108196.279794795
186,178202.79969855747
1425,246976.78944185225
2695,123943.34346664755
738,106666.17239644626
395,151920.16899222307
1353,148363.6448027173
1878,144914.6907949642
390,167966.14571236027
1456,241980.61738777158
1103,354779.14570630935
1387,128170.6924063195
2070,141431.68308145396
1199,177575.24925713486
2479,171735.62303420744
501,297916.03689642064
2362,99605.0280128317
1718,198818.671578162
2188,89994.57202727323
1483,164687.18325450772
2557,87196.18633877837
437,386892.122489796
2224,180337.51219042952
1628,172469.04845455528
397,124988.2286780572
587,200160.16888802408
971,147586.81026738393
2611,147317.9302014861
1887,92840.13405723214
2399,383112.71470648044
2148,201663.12965707542
304,121421.58182358294
1997,132617.7970414549
2817,118670.57801852838
1431,188884.7675253384
427,336943.9523032483
263,120426.92640484916
598,177972.72728123024
2895,221546.67243172275
687,144011.24963793397
1822,131742.13502699204
2191,107800.9228225314
179,120762.0478884264
1009,206865.17031057322
2010,117480.31050577178
1991,137404.72976520908
1411,156463.55450835574
1721,229260.7766876679
1144,186584.34645208556
593,217903.9719658418
575,307330.02554918785
1249,170770.07350986855
1604,120953.4678585003
1064,553385.4035759254
1923,150309.82683524542
1988,105777.55971511992
2325,177845.38574202947
114,200186.59134048072
2700,179126.5422590226
217,138648.91918341094
343,175366.6579082954
386,226729.4376401991
2005,113125.79577741885
2908,131885.1708279168
1814,239598.49043888896
2446,641455.9952691745
208,139218.2718038913
1679,112014.32847383444
822,342263.2021429198
6,197466.73392740745
1781,443844.4091725184
2397,273571.17631312413
2340,302455.50424878113
1618,164311.39801894024
2843,123805.67391638401
1061,403017.52155645
2786,119069.106012765
1935,130827.01053915039
1341,123785.86797808735
521,276147.8844969119
2136,133054.2004023255
996,191312.88234985314
227,140917.13963296253
135,174271.87495467952
1167,155488.55586317222
294,209098.8662557712
1776,186196.718338132
540,171851.35335650732
1717,196178.8315147471
2303,125250.61820153738
116,191878.05517982913
127,130641.92607025449
1371,126721.93385526018
1014,163915.79656851696
1507,93573.75192083302
702,135007.1169139287
750,134555.63703549205
261,147327.5173433639
1559,82171.28590384056
577,215038.1006962713
2812,194159.48498562007
2080,152498.51440480156
1368,112230.00565491496
2376,122896.20884544827
659,110921.17793989697
1235,122034.49105593932
332,88989.53183515456
1917,143260.96495847148
2094,249964.6405266666
1460,261739.70643328637
1471,213859.60083575276
1509,123578.34285077454
1922,130259.44886724261
433,593671.2673133982
460,248737.1217583391
1116,249100.99556564848
1137,173143.4094935755
53,172513.97271893005
2354,272383.248029635
1475,193712.02487079494
1761,854597.3903814319
842,137273.62171305163
2739,171870.3807689021
2509,153171.75341968608
1007,202884.52348239586
2610,181633.38755510235
1952,95262.30026977033
2719,177611.8058873175
2921,98751.49022176395
1966,129151.8201579486
292,117439.31402100656
1204,193521.50094359939
1829,239648.2960218388
2419,178561.42567633532
391,150834.12639639006
798,117442.25263771522
481,205391.2893883224
193,204412.2519264642
555,113021.81218774701
899,80615.53811542949
2357,180404.77164460512
328,124822.04829195702
1356,112266.47780305758
1154,111633.04263455415
1730,176033.56316281122
2249,148180.1443301401
1119,280510.9916155474
2856,131968.3275296209
1394,135324.736144743
2587,116094.64285691499
61,309690.78413109673
2661,177287.23176170114
2711,128274.9856827182
1147,184614.48951053663
757,131781.83691645516
2623,89150.11257247874
2378,145472.4209610105
1413,136529.57748563893
1722,214163.35583131463
1112,218379.63302115948
1623,194367.69066352915
1201,188185.75541242637
1513,120828.67708166206
957,543998.7541890326
1171,269097.3539191931
1145,200321.1563405626
2726,223122.01855301438
703,142867.08896713547
760,97402.72031585187
1964,135705.6477876826
2512,173739.99795715977
159,153023.90598264037
1281,164956.55960013697
468,189369.14271001966
290,120755.05571530515
665,105091.62875218692
1463,260054.15791429588
1792,212712.94202520096
923,137015.00098290367
500,259618.40490411417
1408,158319.1780577532
