Id,SalePrice
2658,131779.40368684716
2718,201386.7232938354
2414,188839.98202802218
1989,122082.53221001243
625,174018.59796170262
333,102136.91817499118
1327,117508.27501401273
858,146974.86006500613
95,193906.1921545391
1568,149527.08074817015
2482,163242.21458732852
1364,124377.06195119777
2584,153386.14755741006
818,279843.3390604923
2673,161734.09002081386
2089,124857.76038155626
1297,145322.6493169991
790,116366.245812755
2616,187110.36346437334
720,183869.49170077997
222,140203.10718595044
557,114172.91913075768
1148,204819.58953193738
2766,136651.74400903189
534,194920.9875956301
1452,110822.50729285559
630,138694.0544900279
2648,131779.24297719123
125,138566.28166792096
1904,67152.06882127198
1670,108308.8829596009
756,102964.75925368658
717,252939.68668620594
1032,154379.28206763818
852,222838.2953330748
1731,176908.6416390272
2639,126324.3539739254
2071,85104.71750726014
1267,113894.33807336923
1851,192752.3344807683
567,155419.02277813945
2439,216506.0479701681
1898,152602.6415092859
647,145967.70711531688
2256,216300.21585479195
979,116561.46622012192
1444,214711.98100674522
2485,110945.27583392843
157,124171.0661672615
88,121392.59005749432
2003,108312.16327441111
186,175752.92720857792
1425,275765.83450446115
2695,130041.15693571031
738,109504.18922959434
395,150202.07772008516
1353,148258.49697043168
1878,143877.76125032784
390,158874.14240285003
1456,229072.9221561016
1103,326975.5314936605
1387,117840.87361521559
2070,144328.1883969835
1199,172648.25148857464
2479,166088.06987507775
501,333523.4457455341
2362,94546.57024972784
1718,203547.62855099075
2188,86681.9150335326
1483,156421.41680498084
2557,88265.1879179085
437,355779.5533261202
2224,181028.1871144825
1628,172605.50605422494
397,125255.49899985417
587,207219.8408830929
971,141908.966143457
2611,143638.462454596
1887,90975.70036832335
2399,354614.83152609953
2148,220295.02839579014
304,120743.42348583265
1997,134123.81423012065
2817,115799.52390601946
1431,169801.88747569898
427,396333.8973027923
263,115171.72557778712
598,166636.08581023285
2895,238687.89554748885
687,148840.61735479353
1822,128557.06478626136
2191,106766.15495984795
179,130387.79482160666
1009,206215.009156667
2010,116484.55051325168
1991,142099.92193568175
1411,154908.0367162895
1721,255075.77834692012
1144,179866.63069511394
593,208034.5503424051
575,287214.6196889525
1249,179844.58966596436
1604,117224.92304798405
1064,536130.4202783043
1923,145515.74002568464
1988,105585.56453413688
2325,170214.42563944106
114,187421.17763969835
2700,190113.69963822985
217,139259.30933149197
343,174944.78470119694
386,244660.95006790746
2005,110871.40663164422
2908,135480.3277759291
1814,211306.03401928456
2446,565752.1823661858
208,139693.88030830998
1679,118623.23826789521
822,339134.99904079107
6,184331.81898053735
1781,438576.3671552718
2397,293245.6155183942
2340,305058.7833812549
1618,156676.2874820696
2843,127577.22243731661
1061,384712.7896112146
2786,112913.6521708356
1935,128722.09949885456
1341,125567.51452724315
521,291813.27228107356
2136,126571.50398261005
996,180382.92801776927
227,134321.13127918582
135,162188.1196723265
1167,156172.94561932626
294,217139.341245024
1776,198096.09671270763
540,181004.13071258625
1717,203547.62855099075
2303,119324.69991310054
116,188575.5269524945
127,129386.04175808557
1371,131431.6677426413
1014,166882.7501643333
1507,92753.50176726173
702,140994.010296989
750,140879.70673016767
261,144372.268359326
1559,79980.00341443821
577,225104.6654640837
2812,197087.22601060942
2080,146774.52968860563
1368,119415.74418489805
2376,114561.45861475157
659,113255.62144513034
1235,116807.97299123893
332,93947.22041410865
1917,136898.114943409
2094,245817.6084766596
1460,290255.61454217543
1471,204870.04018874443
1509,119737.22270412985
1922,126311.30508565223
433,559867.8419453272
460,286294.1104545545
1116,267466.1102338601
1137,166749.52021417915
53,181381.93262708685
2354,259985.4461887954
1475,199290.94399674036
1761,754221.1757455871
