Id,SalePrice
2658,128570.79770040831
2718,171993.67115134114
2414,215131.20177875
1989,103186.43975090006
625,171031.97095929476
333,97866.02241507257
1327,109361.19042224997
858,147054.57162739005
95,178521.75152198487
1568,156001.81605410014
2482,156337.7230464426
1364,127695.71985145553
2584,147820.93488234415
818,292996.71261764306
2673,162458.70409910905
2089,125578.14696707524
1297,145428.68492293105
790,117309.28987675862
2616,193050.1445251782
720,197651.30674675523
222,148678.59922520758
557,124839.98706645683
1148,189428.39695114497
2766,163665.12729727838
534,183625.80021763334
1452,116389.84353128883
630,137883.72860608494
2648,106668.75228863202
125,154230.358793304
1904,59390.95765793
1670,105518.78282899289
756,95738.96730948606
717,205299.98770581532
1032,158762.0196435732
852,211783.28364656048
1731,174449.7479766253
2639,102629.24864586354
2071,87387.1113836912
1267,119123.46593598818
1851,186785.04409463084
567,151621.42854429904
2439,207971.43379455098
1898,149353.52302591357
647,164993.82324950202
2256,219832.35221586836
979,100134.99285269884
1444,225332.0220923548
2485,121815.64557348317
157,125680.48570913057
88,122790.12712812072
2003,110979.3014484445
186,177053.31200626964
1425,245013.47327447392
2695,132242.31323640235
738,105696.28231915293
395,149544.03764276698
1353,142550.9923803324
1878,143264.41728642138
390,161111.02961735614
1456,234778.93006004865
1103,346949.3986076571
1387,124229.2991692306
2070,147613.72142856734
1199,170321.2010470883
2479,172559.0561456175
501,302575.2706948428
2362,95393.6477665943
1718,194562.50018668143
2188,91876.58064886564
1483,165799.6684353372
2557,90296.73808145238
437,385089.9613655076
2224,181390.4649703399
1628,173719.79606532655
397,133744.72898915745
587,192925.43093407364
971,147232.84492229886
2611,153040.40974583031
1887,94476.82977409191
2399,382355.46033834567
2148,202763.23901429426
304,117833.74204541813
1997,140660.65340142127
2817,123247.80406077189
1431,191927.76310630428
427,315776.47554146225
263,120330.25445077114
598,163374.24568901752
2895,217275.1025547302
687,134545.22111809207
1822,137485.50141809648
2191,117113.62314610607
179,110876.54871116337
1009,202845.72393076553
2010,126706.03307117952
1991,137508.37921636342
1411,158932.33123881085
1721,224103.41257593778
1144,187924.19021305608
593,220229.32552100666
575,307628.37351643364
1249,167160.99823173808
1604,121540.55313882008
1064,565535.0436873552
1923,163799.3197918223
1988,102702.42966339979
2325,170814.05115739006
114,191084.41454597923
2700,182618.53847128656
217,139187.05152835234
343,171470.31785748608
386,226224.9017254544
2005,117935.35834610075
2908,129537.2064938626
1814,252343.86771689996
2446,633404.6134746849
208,128597.69210189728
1679,109407.57580506345
822,339515.6241967887
6,194560.14385627408
1781,422361.3285002315
2397,266245.4317652575
2340,305210.8766635186
1618,165098.48785054075
2843,132935.82552035563
1061,387935.74504845793
2786,128013.92537838
1935,135939.07934711134
1341,124673.62086596148
521,276703.01340837136
2136,131518.81799671834
996,195286.77427711576
227,146063.22249807382
135,180306.95441928442
1167,153548.3129604156
294,230779.22413696576
1776,190517.07311185333
540,175755.9792060124
1717,192330.33599954945
2303,123047.32316633665
116,180588.78400897034
127,136079.14978490988
1371,135715.54473354394
1014,166497.3756547319
1507,96438.75663134099
702,120878.39888041143
750,134004.24698316108
261,150423.84858449834
1559,75498.83399116549
577,215289.81284213296
2812,201719.1643013605
2080,159312.00967040405
1368,102677.13983602158
2376,123864.30474244301
659,98816.20126415546
1235,125314.57448483811
332,88496.3567394664
1917,141952.50678719752
2094,250441.09618249311
1460,251368.2974782283
1471,215562.71266408626
1509,129491.86010865246
1922,130619.05854698618
433,616058.6220439698
460,247282.6188430168
